domain,scheme,x,rep,gen,best_fitness,mean_fitness,best_distance,mean_distance,mean_novelty
evogym,darwinian,0.0,1,0,0.21887687092159477,0.15691588856530375,4.377777005276337,1.8056129247105699,0.2080032204075569
evogym,darwinian,0.0,1,1,0.21887687092159477,0.15691588856530375,4.377777005276337,1.8056129247105699,0.2080032204075569
evogym,darwinian,0.0,1,2,0.21887687092159477,0.15749415870118672,4.646353329839907,1.838020687073896,0.19964248691837053
evogym,darwinian,0.0,1,3,0.21887687092159477,0.1645883947857863,4.410803728707573,1.8420006905151751,0.20704336492379666
evogym,darwinian,0.0,1,4,0.22675476340935508,0.16950510283127332,4.410803728707573,1.755969264486152,0.2049691840450294
evogym,darwinian,0.0,1,5,0.22675476340935508,0.18008875374905414,4.108718321465981,1.5466462928726767,0.2135637161645128
evogym,darwinian,0.0,1,6,0.22715738112447353,0.18700521176514534,4.245304348363384,1.6026064974355798,0.22381021346903535
evogym,darwinian,0.0,1,7,0.22000916936071002,0.18627128134527193,4.054505977666491,1.4235229000890846,0.23098020097875566
evogym,darwinian,0.0,1,8,0.22066675699065544,0.18830797829964735,4.447422384975565,1.6354020807856968,0.2369873036793248
evogym,darwinian,0.0,1,9,0.22861531329079157,0.1883447026516309,4.078491048494674,1.575522875368675,0.23338418956346324
evogym,darwinian,0.0,1,10,0.22861531329079157,0.17617940750655908,3.4036536510967563,1.5706245335318738,0.22956922966905177
evogym,darwinian,0.0,1,11,0.21658048176653244,0.18198706707961873,3.7553780034821127,1.5129237469307357,0.2390897048702581
evogym,darwinian,0.0,1,12,0.20483216272192636,0.1732749890912328,3.7553780034821127,1.8108043335977686,0.22452918842417904
evogym,darwinian,0.0,1,13,0.20483216272192636,0.17935872991713356,3.3071052351463224,1.7075545698893762,0.22657766283900474
evogym,darwinian,0.0,1,14,0.223225698683356,0.1786351448120422,3.77843449704909,1.6877873824567238,0.2132278484975907
evogym,darwinian,0.0,1,15,0.223225698683356,0.18938085774627286,4.773611365420844,1.718132989940965,0.2229417076330605
evogym,darwinian,0.0,1,16,0.223225698683356,0.18793101175986182,2.894462672776928,1.5252031739312968,0.22666433865722552
evogym,darwinian,0.0,1,17,0.223225698683356,0.19105196194060217,3.9940060192401647,1.454303545285428,0.23169880291335976
evogym,darwinian,0.0,1,18,0.223225698683356,0.18262563724629402,3.1969784611059673,1.4724184683848,0.23616158392846667
evogym,darwinian,0.0,1,19,0.21225871719346828,0.18326245496890492,3.2744614509631385,1.4087804949634548,0.2392466087609635
evogym,darwinian,0.0,1,20,0.20523398950524474,0.16773985119348175,3.7724164265437956,1.6272767577462024,0.23353078812338204
evogym,darwinian,0.0,1,21,0.2032613302010901,0.15466700466270233,5.253923124138055,1.5254246707643786,0.22692416647488223
evogym,darwinian,0.0,1,22,0.2059847448866219,0.15221863353876747,5.253923124138055,1.6726444851621802,0.2139140140732912
evogym,darwinian,0.0,1,23,0.20969310638883273,0.17080214278996006,3.7338177948634366,1.6119692262247312,0.21538292157448882
evogym,darwinian,0.0,1,24,0.22607205016723209,0.17921873542934702,3.7338177948634366,1.3515423199139542,0.21653553753736327
evogym,darwinian,0.0,1,25,0.2786203463423069,0.18933332446174964,3.7338177948634366,1.3880783398968706,0.2248718004647105
evogym,darwinian,0.0,1,26,0.2786203463423069,0.18362173479443686,3.7338177948634366,1.2756792554357044,0.2168834561547679
evogym,darwinian,0.0,1,27,0.4187115288730972,0.1950760176727009,3.323570121161545,1.2139489224598323,0.2314881723651911
evogym,darwinian,0.0,1,28,0.4187115288730972,0.1957440065775745,4.144716612841466,1.1126082793557077,0.23869602759261865
evogym,darwinian,0.0,1,29,0.4187115288730972,0.19309818677050825,5.4581766941282615,1.7601655677730537,0.2264735785907047
evogym,darwinian,0.0,1,30,0.4187115288730972,0.2254334626608146,4.144716612841466,1.052182087726004,0.2369768552053491
evogym,darwinian,0.0,2,0,0.2039529754492951,0.16794694272263821,2.991712572509197,1.3836945378630123,0.21853656436546257
evogym,darwinian,0.0,2,1,0.2039529754492951,0.16794694272263821,2.991712572509197,1.3836945378630123,0.21853656436546257
evogym,darwinian,0.0,2,2,0.21537964802196605,0.16856663383542336,3.967926912638038,1.5032560236549175,0.20581365556431147
evogym,darwinian,0.0,2,3,0.21537964802196605,0.17463564421386282,3.4292942669535122,1.434996243250926,0.21315596070781262
evogym,darwinian,0.0,2,4,0.2186287806180206,0.1743474608046262,4.088584027654977,1.438161987092166,0.2179900453216974
evogym,darwinian,0.0,2,5,0.2186287806180206,0.16313277709812388,3.2283480885127114,1.4131653285116803,0.2143310687052809
evogym,darwinian,0.0,2,6,0.21025652034964784,0.16795223348631674,2.957897374352102,1.1435251272881746,0.21966504124214858
evogym,darwinian,0.0,2,7,0.21025652034964784,0.17668330378123503,3.2889715725986295,1.202629419856995,0.22410130961575986
evogym,darwinian,0.0,2,8,0.20492817717350828,0.174089864092718,3.2889715725986295,0.996471363242353,0.22455471379017636
evogym,darwinian,0.0,2,9,0.209519243806253,0.17077418911453227,4.672835072983431,1.1679728165425975,0.2300973021526806
evogym,darwinian,0.0,2,10,0.22780859514786858,0.16473942558721008,3.079504837360519,1.3577996503707062,0.22383439768968932
evogym,darwinian,0.0,2,11,0.22886986092619238,0.18108622609769282,3.079504837360519,1.030444032880189,0.2348115140887279
evogym,darwinian,0.0,2,12,0.21231938039487505,0.17341097624158197,3.079504837360519,1.2114568212750045,0.23973137567209096
evogym,darwinian,0.0,2,13,0.21231938039487505,0.16372387020452417,3.551181623351809,1.2279216126378538,0.23335012751317002
evogym,darwinian,0.0,2,14,0.21453132162629304,0.16824632225084862,3.77277991253228,1.4219143435615795,0.23504795633729536
evogym,darwinian,0.0,2,15,0.21630838195324573,0.1708297975432808,3.855914927242318,1.3358760659049067,0.23245236691959592
evogym,darwinian,0.0,2,16,0.21630838195324573,0.16413888000414784,3.5371055873600756,1.2590193759109276,0.21202092538110312
evogym,darwinian,0.0,2,17,0.22464340710876704,0.1833528384067865,3.5371055873600756,1.3037142727566784,0.21450271027560136
evogym,darwinian,0.0,2,18,0.22464340710876704,0.18597967096306206,4.196489233498046,1.587275300787872,0.21437144130837785
evogym,darwinian,0.0,2,19,0.2513535182154162,0.19375313842557598,3.5371055873600756,1.4274167145118482,0.23140448388729143
evogym,darwinian,0.0,2,20,0.2513535182154162,0.17585699810663555,4.6064192304485125,1.7859883956443927,0.22283466429664428
evogym,darwinian,0.0,2,21,0.2513535182154162,0.18996801475009617,3.9486930983147808,1.5710071379199044,0.2374398458529118
evogym,darwinian,0.0,2,22,0.2513535182154162,0.1869840117288494,3.6638900177801785,1.6183220396106506,0.242744203646264
evogym,darwinian,0.0,2,23,0.23852994656827947,0.18446415450344505,4.247559525464776,1.3337297600907538,0.24760393278144704
