domain,scheme,x,rep,gen,best_fitness,mean_fitness,best_distance,mean_distance,mean_novelty
evogym,darwinian,0.1,1,0,0.22706092104895614,0.19495482938650452,2.7306701818861505,1.509576101211944,0.2364754456005007
evogym,darwinian,0.1,1,1,0.22706092104895614,0.19495482938650452,2.7306701818861505,1.509576101211944,0.2364754456005007
evogym,darwinian,0.1,1,2,0.22706092104895614,0.19436033923761128,3.694489648607236,1.6451757195068761,0.20955721021897653
evogym,darwinian,0.1,1,3,0.22706092104895614,0.19963983003119368,3.694489648607236,1.7871625117948977,0.21270132382803367
evogym,darwinian,0.1,1,4,0.22607917001883818,0.19294996244965876,4.0534055505936415,1.7834733724414238,0.2136097672056878
evogym,darwinian,0.1,1,5,0.22203710218796507,0.19837184408444727,4.293171279350846,1.9114999204817817,0.2127791479414421
evogym,darwinian,0.1,1,6,0.22417147168651014,0.19505071519356615,5.442293943055208,1.9729907456358693,0.21165904101431363
evogym,darwinian,0.1,1,7,0.2264639947763376,0.19776609971583534,5.442293943055208,2.153739877197961,0.20482813130886995
evogym,darwinian,0.1,1,8,0.24719854808888556,0.2017555358410857,5.442293943055208,2.043743553150354,0.2102682807737811
evogym,darwinian,0.1,1,9,0.24719854808888556,0.20681998796438728,5.442293943055208,2.2211986602398333,0.21361641833962258
evogym,darwinian,0.1,1,10,0.24719854808888556,0.20844802352135808,5.442293943055208,1.9490555752697039,0.22475711643004187
evogym,darwinian,0.1,1,11,0.24719854808888556,0.20115995217439,5.442293943055208,1.8800374518718357,0.225434767599119
evogym,darwinian,0.1,1,12,0.24719854808888556,0.20390396225370305,5.442293943055208,2.1264115619010115,0.22208038836112437
evogym,darwinian,0.1,1,13,0.24719854808888556,0.20427243167446002,5.442293943055208,1.972923323916298,0.22453053773523166
evogym,darwinian,0.1,1,14,0.24719854808888556,0.20295226670317484,5.442293943055208,2.5896719746858547,0.20920414544842098
evogym,darwinian,0.1,1,15,0.24719854808888556,0.20930229278850487,5.442293943055208,1.9595674134331227,0.22531110713633523
evogym,darwinian,0.1,1,16,0.24719854808888556,0.2101293478656145,5.442293943055208,2.6949945321334,0.21470833387427501
evogym,darwinian,0.1,1,17,0.24719854808888556,0.2097418332246001,5.442293943055208,2.3723591015822456,0.22444483477523428
evogym,darwinian,0.1,1,18,0.24719854808888556,0.20635135267692212,5.442293943055208,2.0636808995209783,0.2224086614059631
evogym,darwinian,0.1,1,19,0.2635440881810298,0.21120226393422117,5.442293943055208,2.4533003731972043,0.21491825297771877
evogym,darwinian,0.1,1,20,0.271085539018578,0.2078826633575798,5.442293943055208,2.120856099896188,0.2265651401253855
evogym,darwinian,0.1,1,21,0.271085539018578,0.20890923054667193,5.442293943055208,2.567214229990676,0.21843338207591873
evogym,darwinian,0.1,1,22,0.271085539018578,0.20700677316721613,5.442293943055208,2.3498134941670905,0.22972360623771268
evogym,darwinian,0.1,1,23,0.271085539018578,0.18932747766821434,5.442293943055208,1.997904998747193,0.22930645587139895
evogym,darwinian,0.1,1,24,0.271085539018578,0.18292442174206164,4.883287637252652,1.9104030836239185,0.2208184202767262
evogym,darwinian,0.1,1,25,0.2833649353619875,0.19484522571416726,5.334388755168829,2.4274331571487138,0.20673363555301494
evogym,darwinian,0.1,1,26,0.28868712353198667,0.1997053336683659,5.334388755168829,1.7506624613860253,0.22558042460508218
evogym,darwinian,0.1,1,27,0.2925554417150125,0.20406942867385341,5.334388755168829,2.6144513694340157,0.19271744473819014
evogym,darwinian,0.1,1,28,0.33073072113233876,0.22248847894457158,5.334388755168829,2.3172474616449366,0.21466372188486788
evogym,darwinian,0.1,1,29,0.33859117898723456,0.22436461460701396,5.334388755168829,2.4649642583966953,0.21779653261409027
evogym,darwinian,0.1,1,30,0.34419505387712035,0.22715658927851212,5.334388755168829,2.2979199296076436,0.2143501194965353
evogym,darwinian,0.1,2,0,0.22994379468493206,0.18249836854336274,4.374979076051742,1.602120115053507,0.21596860944148338
evogym,darwinian,0.1,2,1,0.22994379468493206,0.18249836854336274,4.374979076051742,1.602120115053507,0.21596860944148338
evogym,darwinian,0.1,2,2,0.22994379468493206,0.18249445678831258,4.374979076051742,1.5538544953483426,0.20289259846428806
evogym,darwinian,0.1,2,3,0.22994379468493206,0.18987623765314826,4.374979076051742,1.8831783896870395,0.20486623577776863
evogym,darwinian,0.1,2,4,0.2755474653169244,0.19219650516815256,4.5397533820741645,1.9380534138211178,0.20220184018739878
evogym,darwinian,0.1,2,5,0.2755474653169244,0.18921907720121567,4.5397533820741645,1.8940045905523661,0.20596012849914444
evogym,darwinian,0.1,2,6,0.2755474653169244,0.19291057739370188,4.5397533820741645,2.1761148855836083,0.19956897249539543
evogym,darwinian,0.1,2,7,0.2755474653169244,0.18760000706688573,5.097589072630799,2.1936291727122907,0.20037007247448005
evogym,darwinian,0.1,2,8,0.2755474653169244,0.1931455329011461,5.097589072630799,2.527541911065135,0.1972721724501791
evogym,darwinian,0.1,2,9,0.2755474653169244,0.1922158443542126,5.097589072630799,2.4913897968179843,0.19125049774469532
evogym,darwinian,0.1,2,10,0.2755474653169244,0.2065746455767658,4.5397533820741645,2.3713074867451054,0.2021167356384926
evogym,darwinian,0.1,2,11,0.2755474653169244,0.21023386587767737,4.788496032379022,2.5380099702863568,0.20387444980200561
evogym,darwinian,0.1,2,12,0.2755474653169244,0.21523479382677926,4.788496032379022,2.5939258300681165,0.20945329718752018
evogym,darwinian,0.1,2,13,0.2755474653169244,0.21159196198848723,4.788496032379022,2.192419804838471,0.2149897142735891
evogym,darwinian,0.1,2,14,0.2755474653169244,0.21631308965696414,4.788496032379022,2.5287131434047567,0.2144574310661497
evogym,darwinian,0.1,2,15,0.2755474653169244,0.21769384206739056,4.788496032379022,2.4945593447151304,0.21823168900162293
evogym,darwinian,0.1,2,16,0.2755474653169244,0.2153110437316293,4.788496032379022,2.5281259793809423,0.22214129567296648
evogym,darwinian,0.1,2,17,0.2755474653169244,0.21229999273073372,4.769756425504099,2.3426157463370356,0.21994416179697218
evogym,darwinian,0.1,2,18,0.2755474653169244,0.2049534801045076,4.769756425504099,2.1672187906627522,0.2221138894697748
evogym,darwinian,0.1,2,19,0.2755474653169244,0.20160676373995418,4.769756425504099,2.6348110891059875,0.20631744554513634
